Designator,Footprint,Quantity,Value,LCSC Part #
"@HOLE0, @HOLE1",,2,,
A1,DISPLAY-MODULE,1,DISPLAY-MODULE,
C1,CAP_0603,1,100n,
C10,CAP_0603_C10,1,18p,
C11,CAP_0603_C11,1,100n,
C12,CAP_0603_C12,1,1u,
C13,CAP_0603_C13,1,1n,
C14,CAP_0603_C14,1,1n,
C15,PANASONIC_C,1,22u,
C16,CAP_0603_C16,1,1n,
C17,CAP_0603_C17,1,1n,
C18,CAP_0603_C18,1,100n,
C19,PANASONIC_C_C19,1,22u,
C2,CAP_0603_C2,1,100n,
C20,CAP_0603_C20,1,100n,
C21,CAP_0603_C21,1,100p,
C22,CAP_0603_C22,1,100p,
C23,CAP_0603_C23,1,100n,
C24,PANASONIC_B,1,10u,
C25,PANASONIC_D,1,47u,
C26,CAP_0603_C26,1,100n,
C27,CAP_0603_C27,1,100n,
C28,CAP_0603_C28,1,100n,
C29,CAP_0603_C29,1,47p,
C3,CAP_0603_C3,1,100n,
C30,PANASONIC_D_C30,1,47u,
C31,CAP_0603_C31,1,100n,
C4,CAP_0603_C4,1,100n,
C5,CAP_0603_C5,1,100n,
C6,CAP_0603_C6,1,1u,
C7,CAP_0603_C7,1,100n,
C8,CAP_0603_C8,1,470n,
C9,CAP_0603_C9,1,18p,
D3,SOP-4_6.5x2.54,1,,
IC10,TSSOP-8,1,TL072,
IC3,DBZ_R-PDSO-G3,1,LM4040B25,
IC4,TSSOP-14,1,MCP3204,
IC5,MSOP-8,1,DAC8551,
IC6,SOT223-4,1,LM1117-3.3,
IC7,TSSOP-14_IC7,1,MCP6004,
IC8,DBZ_R-PDSO-G3_IC8,1,LM4040B10,
IC9,TSSOP-14_IC9,1,TL074D,
J1,Thonkiconn_Jack,1,fm,
J10,Thonkiconn_Jack_J10,1,para 2,
J3,Thonkiconn_Jack_J3,1,v oct,
J5,Thonkiconn_Jack_J5,1,para 1,
J6,Thonkiconn_Jack_J6,1,output,
J9,Thonkiconn_Jack_J9,1,gate,
JP1,AVR_ICSP,1,M05X2PTH,
JP2,2X5-1.27,1,M05X2MINIJTAG,
L1,IND_0603,1,,
L2,IND_0603_L2,1,,
L4,IND_0603_L4,1,,
Q5,HC49UP,1,8MHz,
Q6,SOT23-BEC,1,MMBT3904,
R1,RES_0603,1,1.2k,
R19,9mm_Alpha_Bourns_Pot,1,10kB,
R2,RES_0603_R2,1,1.0M,
R20,9mm_Alpha_Bourns_Pot_R20,1,10kB,
R21,9mm_Alpha_Bourns_Pot_R21,1,10kB,
R22,RES_0603_R22,1,10k,
R23,RES_0603_R23,1,1.0k,
R24,RES_0603_R24,1,100k,
R25,RES_0603_R25,1,49.9k,
R26,RES_0603_R26,1,49.9k,
R27,RES_0603_R27,1,10k,
R28,RES_0603_R28,1,200k,
R29,RES_0603_R29,1,100k,
R3,RES_0603_R3,1,1.0M,
R30,RES_0603_R30,1,24.9k,
R31,RES_0603_R31,1,24.9k,
R32,RES_0603_R32,1,200k,
R33,RES_0603_R33,1,10k,
R34,RES_0603_R34,1,24.9k,
R35,RES_0603_R35,1,24.9k,
R37,9mm_Alpha_Bourns_Pot_R37,1,10kB,
R39,RES_0603_R39,1,120k,
R4,RES_0603_R4,1,1.2k,
R40,RES_0603_R40,1,200k,
R41,RES_0603_R41,1,24.9k,
R42,RES_0603_R42,1,24.9k,
R43,RES_0603_R43,1,24.9k,
R44,RES_0603_R44,1,24.9k,
R45,RES_0603_R45,1,39k,
R46,RES_0603_R46,1,39k,
R47,RES_0603_R47,1,100k,
R48,RES_0603_R48,1,100k,
R49,R1206,1,4.7,
R5,RES_0603_R5,1,1.0M,
R50,RES_0603_R50,1,24.9k,
R51,RES_0603_R51,1,330,
R52,RES_0603_R52,1,24.9k,
R53,RES_0603_R53,1,24.9k,
R54,RES_0603_R54,1,100k,
R55,RES_0603_R55,1,1.0k,
R56,RES_0603_R56,1,100k,
R6,RES_0603_R6,1,1.0M,
SW1,ALPS_EC12E_SW,1,EC12E_SW,
U6,SOIC-8_150mil,1,,
UC1,LQFP48,1,STM32F103CBT6,
VR1,BOURNS_PTL_30mm,1,para 1,
VR2,BOURNS_PTL_30mm_VR2,1,10k,
