Designator,Mid X,Mid Y,Rotation,Layer
@HOLE0,131.991155,-52.934743,0.0,top
@HOLE1,165.011155,-52.934743,0.0,top
A1,148.501154,-65.656009,0.0,bottom
C1,163.582388,-136.063476,0.0,top
C10,139.769888,-59.863476,90.0,top
C11,155.383655,-63.094743,0.0,top
C12,155.429088,-84.057676,180.0,top
C13,154.597955,-96.114743,0.0,top
C14,165.589888,-93.892243,180.0,top
C15,140.578022,-84.375143,0.0,top
C16,154.597955,-100.718476,0.0,top
C17,165.589888,-100.877243,180.0,top
C18,159.805755,-102.54071,180.0,top
C19,138.168655,-98.495976,90.0,top
C2,130.188655,-95.479743,270.0,top
C20,159.644788,-107.862243,0.0,top
C21,130.083088,-110.436843,270.0,top
C22,136.174922,-118.974743,0.0,top
C23,159.976288,-118.669343,0.0,top
C24,138.169888,-128.53251,90.0,top
C25,148.202388,-104.687243,180.0,top
C26,165.700688,-83.898943,0.0,top
C27,135.166155,-126.01601,90.0,top
C28,130.244988,-116.236743,90.0,top
C29,130.777422,-131.357243,90.0,top
C3,153.581155,-127.014743,0.0,top
C30,148.361155,-111.830976,180.0,top
C31,137.967388,-64.840976,180.0,top
C4,142.729888,-63.253476,180.0,top
C5,142.094888,-71.190976,180.0,top
C6,154.907422,-72.302243,0.0,top
C7,130.244888,-90.660976,90.0,top
C8,154.589355,-89.137143,0.0,top
C9,158.502388,-59.863476,90.0,top
D3,145.643655,-122.464743,180.0,top
IC10,131.537422,-122.424743,0.0,top
IC3,151.450022,-85.229943,90.0,top
IC4,160.134922,-87.499576,0.0,top
IC5,133.442422,-91.96851,270.0,top
IC6,145.322288,-92.044743,0.0,top
IC7,160.160555,-97.19811,0.0,top
IC8,138.529055,-114.95281,0.0,top
IC9,159.823655,-113.514943,0.0,top
J1,135.069722,-145.644743,270.0,bottom
J10,147.942155,-145.644743,270.0,bottom
J3,147.942155,-155.010976,270.0,bottom
J5,160.800888,-145.644743,270.0,bottom
J6,135.083388,-155.010976,270.0,bottom
J9,160.800888,-155.010976,270.0,bottom
JP1,148.659922,-134.849743,180.0,top
JP2,164.534922,-67.539743,180.0,top
L1,149.938455,-118.42631,180.0,top
L2,143.891155,-108.020976,0.0,top
L4,148.031155,-99.924743,0.0,top
Q5,149.199655,-59.126009,0.0,top
Q6,138.026155,-68.79851,0.0,top
R1,161.891088,-77.867076,0.0,top
R19,138.352855,-118.53986,0.0,bottom
R2,162.414888,-146.755976,180.0,top
R20,138.352855,-134.534893,0.0,bottom
R21,138.352855,-102.38606,0.0,bottom
R22,164.591155,-63.094743,0.0,top
R23,154.597955,-91.609976,0.0,top
R24,136.912388,-146.540976,180.0,top
R25,154.597955,-94.050976,0.0,top
R26,165.589888,-96.273476,180.0,top
R27,141.579288,-67.778176,0.0,top
R28,154.597955,-105.798476,180.0,top
R29,132.841155,-70.238476,0.0,top
R3,162.573655,-144.533476,180.0,top
R30,154.597955,-108.338476,180.0,top
R31,165.589888,-108.497243,0.0,top
R32,165.589888,-105.957243,0.0,top
R33,160.191088,-63.73981,180.0,top
R34,154.597955,-98.654743,0.0,top
R35,165.589888,-98.654743,180.0,top
R37,158.661155,-134.567493,0.0,bottom
R39,154.597955,-103.47351,180.0,top
R4,152.684555,-79.613143,0.0,top
R40,165.589888,-103.417243,180.0,top
R41,165.589888,-115.482243,0.0,top
R42,154.635422,-116.915476,180.0,top
R43,154.597955,-110.560976,0.0,top
R44,165.589888,-110.719743,180.0,top
R45,130.244888,-102.567243,90.0,top
R46,132.866955,-110.454343,90.0,top
R47,165.589888,-113.100976,0.0,top
R48,162.573655,-141.675976,180.0,top
R49,148.018255,-97.384743,0.0,top
R5,149.506588,-144.130043,180.0,top
R50,137.388655,-134.475976,0.0,top
R51,140.475155,-110.849643,180.0,top
R52,154.633788,-115.134443,0.0,top
R53,165.589888,-117.545976,180.0,top
R54,165.606188,-119.239143,0.0,top
R55,132.943588,-136.063476,90.0,top
R56,130.721155,-136.063476,90.0,top
R6,149.619088,-147.159443,180.0,top
SW1,138.591155,-84.367243,270.0,bottom
U6,158.821155,-131.198476,0.0,top
UC1,148.767388,-67.662243,180.0,top
VR1,163.421955,-101.677476,90.0,bottom
VR2,153.897955,-101.677476,90.0,bottom
